BGP Mux,Peer organization,Peer ASN,Peer IP address,IP version,Short description,Transit,Route Server,Session ID
amsterdam01,Jaguar Network,30781,2001:7f8:1::a503:781:1,IPv6,,False,False,392
amsterdam01,AMPATH,20080,2001:7f8:1::a502:80:1,IPv6,,False,False,124
amsterdam01,ViewQuest,18106,80.249.212.146,IPv4,,False,False,125
amsterdam01,ViewQuest,18106,2001:7f8:1::a501:8106:1,IPv6,,False,False,126
amsterdam01,CAT Telecom,4651,2001:7f8:1::a500:4651:1,IPv6,,False,False,128
amsterdam01,FORTH,1241,80.249.210.140,IPv4,,False,False,397
amsterdam01,FORTH,1241,2001:7f8:1::a500:1241:1,IPv6,,False,False,398
amsterdam01,CAT Telecom,4651,80.249.210.15,IPv4,,False,False,127
amsterdam01,SIDN,1140,80.249.208.49,IPv4,,False,False,362
amsterdam01,M-net Telekommunikations GmbH,8767,80.249.209.94,IPv4,,False,False,129
amsterdam01,M-net Telekommunikations GmbH,8767,2001:7f8:1::a500:8767:1,IPv6,,False,False,130
amsterdam01,OSN Online Service Nuernberg GmbH,8859,80.249.210.122,IPv4,,False,False,446
amsterdam01,Nianet,31027,80.249.208.233,IPv4,,False,False,430
amsterdam01,Info.nl,20953,80.249.208.203,IPv4,,False,False,137
amsterdam01,Info.nl,20953,2001:7f8:1::a502:953:1,IPv6,,False,False,138
amsterdam01,HostServer.de,29140,80.249.210.17,IPv4,,False,False,141
amsterdam01,HostServer.de,29140,2001:7f8:1::a502:9140:1,IPv6,,False,False,142
amsterdam01,FPT Telecom,18403,80.249.212.83,IPv4,,False,False,143
amsterdam01,FPT Telecom,18403,2001:7f8:1::a501:8403:2,IPv6,,False,False,144
amsterdam01,McKay,50763,80.249.210.99,IPv4,,False,False,145
amsterdam01,McKay,50763,2001:7f8:1::a505:763:1,IPv6,,False,False,146
amsterdam01,KeyCom,25178,80.249.211.204,IPv4,,False,False,147
amsterdam01,KeyCom,25178,2001:7f8:1::a502:5178:1,IPv6,,False,False,148
amsterdam01,MEO Servicos de Comunicacoes e Multimedia,8657,80.249.208.217,IPv4,,False,False,421
amsterdam01,MEO Servicos de Comunicacoes e Multimedia,8657,2001:7f8:1::a500:8657:1,IPv6,,False,False,422
amsterdam01,Duodecad IT Services,34655,2001:7f8:1::a503:4655:1,IPv6,,False,False,423
amsterdam01,BGPnet,64050,80.249.213.235,IPv4,,False,False,434
amsterdam01,Telekom Malaysia Berhad,4788,2001:7f8:1::a500:4788:1,IPv6,,False,False,433
amsterdam01,Portlane,42708,80.249.209.25,IPv4,,False,False,426
amsterdam01,Portlane,42708,2001:7f8:1::a504:2708:1,IPv6,,False,False,427
amsterdam01,Zaio Group,6461,80.249.208.122,IPv4,,False,False,428
amsterdam01,Zaio Group,6461,2001:7f8:1::a500:6461:1,IPv6,,False,False,429
amsterdam01,Telekom Malaysia Berhad,4788,80.249.209.91,IPv4,,False,False,432
amsterdam01,Zaio Group,8218,80.249.209.53,IPv4,,False,False,149
amsterdam01,Zaio Group,8218,2001:7f8:1::a500:8218:2,IPv6,,False,False,150
amsterdam01,FiberBy,42541,80.249.212.84,IPv4,,False,False,151
amsterdam01,FiberBy,42541,2001:7f8:1::a504:2541:1,IPv6,,False,False,152
amsterdam01,Open Peering Initiative,20562,80.249.208.189,IPv4,,False,False,24
amsterdam01,Kantonsschule Zug,34288,80.249.209.29,IPv4,,False,False,154
amsterdam01,Kantonsschule Zug,34288,2001:7f8:1::a503:4288:1,IPv6,,False,False,155
amsterdam01,GlobalNet,31500,80.249.209.157,IPv4,,False,False,156
amsterdam01,GlobalNet,31500,2001:7f8:1::a503:1500:1,IPv6,,False,False,157
amsterdam01,Proximus Luxembourg,56665,2001:7f8:1::a505:6665:1,IPv6,,False,False,140
amsterdam01,Plex,21478,80.249.208.216,IPv4,,False,False,25
amsterdam01,Packet Clearing House,42,80.249.208.250,IPv4,,False,False,26
amsterdam01,Amsterdam Internet Exchange,6777,80.249.208.255,IPv4,Route Server 1,False,True,27
amsterdam01,Bandwidth Technologies,25369,80.249.212.219,IPv4,,False,False,164
